Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
215	12960.0	False	1.03	-0.02	-0.09	-0.02	-0.15	0.23	22.79	21.23
216	12961.0	False	1.03	-0.02	-0.09	-0.08	0.0	-0.06	22.71	21.19
217	12958.0	False	1.03	-0.02	-0.09	-0.02	-0.03	0.05	22.79	21.14
218	12960.0	False	1.03	-0.02	-0.09	-0.08	-0.03	0.06	22.79	21.28
219	12964.0	False	1.03	-0.02	-0.08	0.08	-0.24	0.02	22.79	21.19
220	12949.0	False	1.03	-0.02	-0.09	0.08	-0.06	0.12	22.79	21.23
221	12953.0	False	1.03	-0.02	-0.09	-0.15	0.15	-0.14	22.71	21.14
222	12964.0	False	1.03	-0.03	-0.1	-0.14	0.05	0.21	22.71	21.19
223	12965.0	False	1.03	-0.01	-0.09	-0.05	-0.12	0.11	22.79	21.19
224	12963.0	False	1.03	-0.02	-0.09	-0.03	0.08	-0.03	22.79	21.09
225	12961.0	False	1.03	-0.02	-0.09	-0.11	0.02	-0.17	22.79	21.14
226	12958.0	False	1.03	-0.02	-0.09	-0.03	0.15	0.12	22.88	21.19
227	12952.0	False	1.03	-0.02	-0.09	-0.06	-0.24	-0.08	22.79	21.19
228	12954.0	False	1.03	-0.02	-0.09	-0.06	0.0	-0.05	22.79	21.19
229	12953.0	False	1.03	-0.02	-0.09	-0.02	-0.11	0.11	22.79	21.19
230	12954.0	False	1.03	-0.02	-0.08	0.23	-0.2	0.24	22.79	21.09
231	12961.0	False	1.02	-0.02	-0.09	-0.03	0.11	-0.15	22.79	21.19
232	12955.0	False	1.03	-0.02	-0.09	-0.11	-0.05	0.15	22.79	21.23
233	12950.0	False	1.02	-0.02	-0.09	-0.08	-0.2	-0.05	22.79	21.09
234	12964.0	False	1.03	-0.02	-0.09	-0.02	-0.02	0.08	22.79	21.14
235	12950.0	False	1.03	-0.02	-0.1	-0.12	0.06	-0.03	22.71	21.14
236	12943.0	False	1.03	-0.02	-0.09	0.09	0.06	0.0	22.79	21.14
237	12937.0	False	1.02	-0.02	-0.08	0.03	-0.08	0.11	22.79	21.09
238	11183.0	False	1.03	-0.03	-0.08	0.0	-0.12	-0.06	22.79	21.14
239	12941.0	False	1.02	-0.02	-0.09	0.0	-0.05	0.23	22.71	21.19
240	12941.0	False	1.03	-0.02	-0.1	0.12	0.06	0.12	22.79	21.19
241	12920.0	False	1.03	-0.01	-0.09	0.02	0.02	0.03	22.79	21.14
242	12937.0	False	1.03	-0.02	-0.09	-0.05	0.03	0.18	22.79	21.19
243	12962.0	False	1.03	-0.03	-0.09	0.03	-0.05	-0.02	22.79	21.14
244	12947.0	False	1.03	-0.02	-0.08	-0.03	-0.05	-0.08	22.79	21.19
245	12954.0	False	1.03	-0.02	-0.09	0.06	-0.2	0.02	22.79	21.23
246	12957.0	False	1.02	-0.02	-0.1	-0.05	0.08	-0.03	22.79	21.23
247	12969.0	False	1.03	-0.02	-0.08	0.11	-0.15	-0.15	22.71	21.23
248	12958.0	False	1.02	-0.02	-0.09	0.0	0.05	-0.12	22.79	21.19
249	12967.0	False	1.02	-0.02	-0.09	0.03	-0.05	-0.06	22.79	21.19
250	12966.0	False	1.03	-0.02	-0.09	-0.11	-0.17	-0.11	22.79	21.19
251	12964.0	False	1.03	-0.02	-0.09	-0.2	0.05	-0.06	22.79	21.19
252	12967.0	False	1.03	-0.02	-0.09	0.0	-0.02	-0.06	22.71	21.09
253	12966.0	False	1.03	-0.02	-0.09	-0.09	-0.14	0.26	22.88	21.09
254	12957.0	False	1.03	-0.02	-0.09	-0.18	-0.05	-0.05	22.88	21.19
