Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
15.010,1116.6666666666667,True,0,0,0,0,0,0,23.75294117647059
15.020,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.030,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.040,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.050,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.060,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.070,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.080,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.090,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.100,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.110,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.120,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.130,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.140,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.150,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.160,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.170,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.180,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.190,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.200,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.210,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.220,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.230,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.240,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.250,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.260,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.270,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.280,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.290,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.300,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.310,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.320,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.330,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.340,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.350,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.360,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.370,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.380,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.390,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.400,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.410,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.420,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.430,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.440,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.450,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.460,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.470,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.480,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.490,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.500,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.510,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.520,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.530,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.540,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.550,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.560,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.570,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.580,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.590,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.600,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.610,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.620,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.630,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.640,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.650,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.660,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.670,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.680,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.690,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.700,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.710,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.720,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.730,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.740,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.750,1150.0,True,0,0,0,0,0,0,23.75294117647059
